SKU,DocId,Titel,Brand,Produktart,CurrentCategoryId,CurrentBreadcrumb,CurrentRoot,TargetCategoryBreadcrumb,TargetCategoryId,Notes
SKU-9904325113,5702017567501,LEGO City Space Raumschiff & Asteroiden-Entdeckung Baukasten Set 60429 ab 4+,LEGO,Baukasten,31066,Antiquitäten & Kunst > Antikspielzeug > Baukästen,Antiquitäten & Kunst,Spielzeug > Bausets & Konstruktion > LEGO (R) Konstruktionsspielzeuge > LEGO (R) Komplette Sets & Packs,19006,"LLM_SUGGESTED query=5702017567501 root=Spielzeug rationale=Das Produkt ist ein vollständiges LEGO Baukasten-Set. Die Kategorie ""Spielzeug > Bausets & Konstruktion > LEGO (R) Konstruktionsspielzeuge > LEGO (R) Komplette Sets & Packs"" ist die präziseste und logisch sinnvollste Wah"
SKU-5410787453,4013556577007,acamp Hängesessel Schutzhülle: Ganzjähriger Premium Wetterschutz Ø110x200cm,acamp,Schutzhülle,39080,"Antiquitäten & Kunst > Historische Baustoffe > Garten- & Parkeinrichtung > Original, vor 1960 gefertigt > Gartenmöbel",Antiquitäten & Kunst,Garten & Terrasse > Möbel > Möbelschutzhüllen,177031,"LLM_SUGGESTED query=4013556577007 root=Garten & Terrasse rationale=Das Produkt ist eine Schutzhülle für einen Hängesessel, der zu Gartenmöbeln gehört. Die Kategorie 'Garten & Terrasse > Möbel > Möbelschutzhüllen' ist die präziseste und passendste Option für diesen Artikel."
SKU-5928571392,4013556592796,acamp Schutzhülle 59279 Anthrazit Polyester NEU Strandkorb Cappa Optimaler,acamp,Schutzhülle,39080,"Antiquitäten & Kunst > Historische Baustoffe > Garten- & Parkeinrichtung > Original, vor 1960 gefertigt > Gartenmöbel",Antiquitäten & Kunst,Garten & Terrasse > Möbel > Möbelschutzhüllen,177031,"LLM_SUGGESTED query=4013556592796 root=Garten & Terrasse rationale=Das Produkt ist eine Schutzhülle für einen Strandkorb. Die Kategorie 'Garten & Terrasse > Möbel > Möbelschutzhüllen' ist die präziseste und passendste Wahl, da ein Strandkorb zu den Gartenmöbeln gehört und das Produkt ei"
SKU-6860111834,61921411800024,Qunsheng Haushaltshandschuhe 61921411800024 Naturlatex Zweifarbig Rot/Gelb,Qunsheng,Haushaltshandschuhe,14075,Antiquitäten & Kunst > Kleidung & Access. vor 1900 > Accessoires > Handschuhe,Antiquitäten & Kunst,Möbel & Wohnen > Haushalt > Putzgeräte > Reinigungshandschuhe,259347,"LLM_SUGGESTED query=Qunsheng 61921411800024 root=Möbel & Wohnen rationale=Das Produkt wird als 'Haushaltshandschuhe' beschrieben. Die Kategorie 'Möbel & Wohnen > Haushalt > Putzgeräte > Reinigungshandschuhe' ist die präziseste und passendste Wahl, da sie direkt den Verwendungszweck und die Art"
SKU-4990478200,SKU-4990478200,"BBQ-Toro Gusseisen Wok Ø35,5cm für authentische & krosse Bratergebnisse",BBQ-Toro,,19396,Antiquitäten & Kunst > Metallobjekte > Eisen > Gefertigt nach 1945 > Gusseisen,Antiquitäten & Kunst,Möbel & Wohnen > Kochen & Genießen > Töpfe & Pfannen > Woks,109065,"LLM_SUGGESTED query=4260532291215 root=Möbel & Wohnen rationale=Das Produkt ist eine Gusseisen-Wokpfanne, die zum Kochen verwendet wird. Die Kategorie 'Möbel & Wohnen > Kochen & Genießen > Töpfe & Pfannen > Woks' ist die präziseste und passendste Wahl. Die Kategorie 'Elektrische Pfan"
SKU-4212491486,SKU-4212491486,Unbekannt Handpan SKU-4212491486 Schwarz matt Lackierter Stahl NEU Gr. 58 cm,Unbekannt,Handpan,37976,Antiquitäten & Kunst > Musikinstrumente > Schlaginstrumente,Antiquitäten & Kunst,Musikinstrumente > Drums & Percussion > Folklore & Welt > Handpans,181236,"LLM_SUGGESTED query=Unbekannt SKU-4212491486 root=Musikinstrumente rationale=The product is a 'Handpan'. The category 'Musikinstrumente > Drums & Percussion > Folklore & Welt > Handpans' is the most specific and accurate match for this instrument, explicitly mentioning 'Handpans' in its breadcrum"
SKU-7998641824,SKU-7998641824,Rohema Drumsticks Premium Holz NEU Präzision Langlebigkeit Antiquitäten,Rohema,Drumsticks,37976,Antiquitäten & Kunst > Musikinstrumente > Schlaginstrumente,Antiquitäten & Kunst,"Musikinstrumente > Drums & Percussion > Ersatzteile > Sticks, Besen & Schlägel",41456,"LLM_SUGGESTED query=Rohema Drumsticks root=Musikinstrumente rationale=Das Produkt sind Drumsticks der Marke Rohema, die laut Web-Evidenz für Schlagzeuge verwendet werden und als Zubehör oder Ersatzteile für Schlaginstrumente gelten. Die Kategorie ""Musikinstrumente > Drums & Percussion > Er"
SKU-6427883146,SKU-6427883146,"NEXTCOVER Faltschloss Schwarz Gehärteter Stahl, Kunststoffummantelung NEU",NEXTCOVER,Faltschloss,167468,Antiquitäten & Kunst > Restaurierungsbedarf > Schlösser,Antiquitäten & Kunst,Sport > Radsport > Fahrradzubehör > Schlösser & Sicherheit,58100,"LLM_SUGGESTED query=8720648699382 root=Sport rationale=Das Produkt ist ein Faltschloss, das laut WEB-EVIDENZ explizit als 'Fahrradschloss' für 'City Bike' und 'E-Scooter' beworben wird. Die Kategorie 'Sport > Radsport > Fahrradzubehör > Schlösser & Sicherheit' ist die präzis"
SKU-8850596846,4003318620911,"ABUS Faltschloss BORDO 6000K/120 BK SH, 120cm, Sicherheitslevel 10 Schwarz",ABUS,Faltschloss,167468,Antiquitäten & Kunst > Restaurierungsbedarf > Schlösser,Antiquitäten & Kunst,Sport > Radsport > Fahrradzubehör > Schlösser & Sicherheit,58100,"LLM_SUGGESTED query=4003318620911 root=Sport rationale=Das Produkt ist ein Faltschloss der Marke ABUS, das laut Web-Evidenz eindeutig als Fahrradschloss identifiziert wird. Die Kategorie 'Sport > Radsport > Fahrradzubehör > Schlösser & Sicherheit' ist die präziseste und pass"
SKU-9073986145,SKU-9073986145,RAVENOL Sägekettenöl S 85 NEU Optimaler Verschleißschutz Haftung Business,RAVENOL,Sägekettenöl,131252,"Business & Industrie > Agrar, Forst & Kommune > Ersatzteile, Teile & Zubehör > Teile & Zubehör Motorsägen > Sägeketten",Business & Industrie,Garten & Terrasse > Motor-Gartengeräte & -zubehör > Kettensägen-Ersatzteile,85915,"LLM_SUGGESTED query=4014835742154 root=Garten & Terrasse rationale=Das Produkt ist ein Sägekettenöl, das speziell für Kettensägen verwendet wird. Die Kategorie 'Garten & Terrasse > Motor-Gartengeräte & -zubehör > Kettensägen-Ersatzteile' ist die präziseste und logischste Wahl, da Sägeke"
