category_id,parent_id,name,breadcrumb
6539971,0,Auto & Motorrad,Auto & Motorrad
6539984,6539971,Car-Hifi & Navigation,Auto & Motorrad > Car-Hifi & Navigation
6540081,6539984,Auto-DVD-Player,Auto & Motorrad > Car-Hifi & Navigation > Auto-DVD-Player
6540082,6539984,Autolautsprecher,Auto & Motorrad > Car-Hifi & Navigation > Autolautsprecher
6540783,6540082,KFZ Verstärker und Endstufen,Auto & Motorrad > Car-Hifi & Navigation > Autolautsprecher > KFZ Verstärker und Endstufen
6540784,6540082,KFZ-Lautsprecher-Zubehör,Auto & Motorrad > Car-Hifi & Navigation > Autolautsprecher > KFZ-Lautsprecher-Zubehör
6540785,6540082,KFZ-Lautsprecherboxen,Auto & Motorrad > Car-Hifi & Navigation > Autolautsprecher > KFZ-Lautsprecherboxen
6540786,6540082,KFZ-Soundboards,Auto & Motorrad > Car-Hifi & Navigation > Autolautsprecher > KFZ-Soundboards
6540787,6540082,KFZ-Subwoofer,Auto & Motorrad > Car-Hifi & Navigation > Autolautsprecher > KFZ-Subwoofer
6540083,6539984,Autoradios,Auto & Motorrad > Car-Hifi & Navigation > Autoradios
6540084,6539984,Car-Hifi-Zubehör,Auto & Motorrad > Car-Hifi & Navigation > Car-Hifi-Zubehör
6540788,6540084,CD-Aufbewahrungsboxen,Auto & Motorrad > Car-Hifi & Navigation > Car-Hifi-Zubehör > CD-Aufbewahrungsboxen
6540789,6540084,Einbaurahmen & Radioblenden,Auto & Motorrad > Car-Hifi & Navigation > Car-Hifi-Zubehör > Einbaurahmen & Radioblenden
6540790,6540084,Entstörfilter,Auto & Motorrad > Car-Hifi & Navigation > Car-Hifi-Zubehör > Entstörfilter
6540791,6540084,Fahrzeugantennen,Auto & Motorrad > Car-Hifi & Navigation > Car-Hifi-Zubehör > Fahrzeugantennen
6540792,6540084,Frequenzweichen,Auto & Motorrad > Car-Hifi & Navigation > Car-Hifi-Zubehör > Frequenzweichen
6540793,6540084,Kondensatoren & Equalizer,Auto & Motorrad > Car-Hifi & Navigation > Car-Hifi-Zubehör > Kondensatoren & Equalizer
6543059,6540793,Equalizer,Auto & Motorrad > Car-Hifi & Navigation > Car-Hifi-Zubehör > Kondensatoren & Equalizer > Equalizer
6539985,6539971,Carports,Auto & Motorrad > Carports
6539986,6539971,Fahrzeuge,Auto & Motorrad > Fahrzeuge
6540085,6539986,Autos,Auto & Motorrad > Fahrzeuge > Autos
6540086,6539986,Elektromobile,Auto & Motorrad > Fahrzeuge > Elektromobile
