sku,docId,lastSource,status,before_len,after_len,before_issues,after_issues,before,after,reason
SKU-1844691476,0060cdec-9193-411b-af64-4754ca0226bd,ui,update,72,39,priority_a_missing_in_title|priority_a_not_in_first_60,,"Thule Rucksack Darkest Blue – Robust, vielseitig & nachhaltig für Alltag",Thule Rucksack 3205317 Darkest Blue NEU,
SKU-7255766247,0198303486543,ui,update,70,74,priority_a_missing_in_title|priority_a_not_in_first_60,,Abercrombie & Fitch T-Shirt Herren Mehrfarbig Gr. L 100% Baumwolle NEU,Abercrombie Fitch T-Shirt 661581842 Herren Gr. L 100% Baumwolle Mehrfarbig,
SKU-1890172110,0810123671069,ui,update,74,51,priority_a_missing_in_title|priority_a_not_in_first_60,,Levoit Luftbefeuchter Classic 160 Ultraschall 2.5L Tank für 20m² Räume NEU,Levoit Luftbefeuchter LUH-A251-WEU 17W 2.5L 20m NEU,
SKU-0279594894,0814914026519,ui,update,75,57,priority_a_not_in_first_60|priority_a_missing_in_title,,Patriot P300 M.2 PCIe Gen 3x4 256 GB - Read 2100 MB/s Solid State Drive Neu,Patriot Solid State Drive P300P256GM28 256GB m.2 pcie NEU,
SKU-4747629782,0840353901100,ui,update,73,62,priority_a_not_in_first_60,,Fitbit Fitness-Tracker Charge 6 Coral / Champagne Gold NEU GA05184-EU GPS,Fitbit Fitness-Tracker GA05184-EU gps Coral Champagne Gold NEU,
SKU-3671103995,09be7756-7b4f-4dda-bda0-799754052fff,title-normalize,update,79,51,priority_a_missing_in_title|priority_a_not_in_first_60|duplicate_word,,"SACHS Federbeinlager Domlager 802 472 019 für Ford Fiesta V, Ford Fusion, Mazda",SACHS Reparatursatz Federbeinstützlager 802 472 019,
SKU-3023625088,1011190149611,category-review-csv,update,80,40,title_starts_with_marketing|brand_missing|model_or_mpn_missing|priority_a_missing_in_title|priority_a_not_in_first_60,brand_missing|model_or_mpn_missing,"Hochwertiges 15-tlg Gewindereparaturset M14x1,5 Werkzeugsatz für Reparaturen NEU",Unbekannt Gewindereparaturset 15-tlg NEU,
SKU-5246852701,11850025732208,ui,update,72,69,priority_a_not_in_first_60,,RELION Lithium Eisenphosphat Batterie Insight Series 48V030-GC2 Blau Neu,RELION Lithium Eisenphosphat Batterie 48V030-GC2 30 Ah 51.2V Blau NEU,
SKU-7591395419,14006633314036,title-normalize,update,76,55,duplicate_word,,ATE Bremsscheibe 24.0125-0184.1 für Audi 314 mm NEU Gr. 314 mm Nein 314x25mm,ATE Bremsscheibe 24.0125-0184.1 Audi 314mm 314x25mm NEU,
SKU-7995751556,1472920275814,unknown,update,72,62,priority_a_missing_in_title|priority_a_not_in_first_60,,IKEA KALLAX Standregal 77x77 cm – Vielseitige & stilvolle Ordnungslösung,IKEA Standregal 202.758.14 77cm Holzwerkstoff 77x77cm Weiß NEU,
