Key,Products,Cluster,Types,Sources,TopCategories,SampleValues
identifiers.sku,604,identifiers sku,string:604,identifiers:604,15709:12 179496:7 2994:6 3034:6 33564:6,SKU-7538503265 | SKU-7225351886 | SKU-1844691476 | SKU-9129624671 | SKU-2231367173 | SKU-2250869990 | SKU-4310621602 | SKU-7255766247
Produktart,550,produktart,string:542 null:8,attributes:550,15709:6 33564:6 37644:6 179496:6 20460:5,Ersatz-Sitzkissen | Hundepool | Rucksack | Gepäckträger | Bienengiftsalbe | Fahrradständer | Sammelordner-Kollektion | T-Shirt
Marke,533,marke,string:531 null:2,attributes:533,15709:12 179496:7 3034:6 2994:5 37644:5,COM40 Limited sp | COZII | Thule | Bedrop | HENMI | Pokémon | Quooker | Weber
identifiers.ean,493,identifiers ean,string:493,identifiers:493,15709:11 37644:6 179496:6 3034:5 238:4,4262479341886 | 0085854258548 | 0872299043330 | 0098931289601 | 0751677212219 | 0196214105119 | 0198303486543 | 8424445107988
Zustand,490,zustand,string:490,attributes:490,15709:11 179496:7 33564:6 37644:5 238:4,NEU | Neu | Ungeprüft | new | used | Neuware | Neu (sonstige) | Neu mit Karton
Farbe,469,farbe,string:467 null:2,attributes:469,15709:12 2994:6 3034:6 37644:6 20460:5,Blau | Darkest Blue | Schwarz | Mehrfarbig | Silber | Sunburst | Coral / Champagne Gold | Weiß
gpsr.manufacturer_name,462,gpsr manufacturer name,string:462,gpsr:462,15709:10 2994:6 3034:6 33564:6 37644:6,COM40 Limited sp | Thule | Thule Sweden AB | HENMI | Pokémon | ABFICO NETHERLANDS DISTRIBUTION B.V. | Weber | ALKAR AUTOMOTIVE S.A.U.
Kategorie,456,kategorie,string:456,attributes:456,15709:12 2994:6 3034:6 33564:6 37644:6,"Möbel & Wohnen > Möbelzubehör > Sitzkissen | Möbel & Wohnen > Kochen & Genießen > Gedeckter Tisch > Tischsets | Sport > Camping & Outdoor > Rucksäcke > Trekkingrucksäcke | Sport > Radsport > Fahrradzubehör > Fahrradständer & Aufbewahrung | Sammeln & Seltenes > Sammelkartenspiele/TCGs > TCG Zubehör > TCG Ordner, Sammelmappen & -hüllen | Sport > Angelsport > Zubehör > Räucheröfen & -utensilien | Heimwerker > Werkzeuge > Handwerkzeuge > Messer | Heimwerker > Werkzeuge > Elektrowerkzeuge > Schleifmaschinen"
gpsr.email,451,gpsr email,string:451,gpsr:451,15709:8 2994:6 33564:6 37644:6 179496:6,info@example.com | abercrombie@cs.abercrombie.com | sales@patriotmemory.com | support@fwcsss.com | contact@evatmaster.com | Successservice2@hotmail.com | successservice2@hotmail.com | ccrepservice@hotmail.com
gpsr.manufacturer_address,451,gpsr manufacturer address,string:451,gpsr:451,15709:8 2994:6 33564:6 37644:6 179496:6,"kocka 46, 63-460 Nowe Skalmierzyce, Poland | Borggatan 5, 33573 Hillerstorp, Sweden | Not Provided, EU | ABFICO NETHERLANDS DISTRIBUTION B.V. LAARDERHOOGTWEG 25 1101 EB AMSTERDAM THE NETHERLANDS | P.E. BOROA, PARCELA 2B4-5, 43340-AMOREBIETA (VIZCAYA) | Unit 3, Ryknild Industrial Estate, Derby Road, Burton upon Trent, DE14 1RZ | Patriot Memory, USA Office: 47027 Benicia Street, Fremont, CA 94538; Europe Office: Newtonweg 12, 5928 PN Venlo, The Netherlands | Sodener Straße 9, 65824 Schwalbach, Germany"
