SKU,DocId,Titel,Brand,Produktart,CurrentCategoryId,CurrentBreadcrumb,CurrentRoot,Suggested1Id,Suggested1Breadcrumb,Suggested1Hit,Suggested2Id,Suggested2Breadcrumb,Suggested2Hit,Suggested3Id,Suggested3Breadcrumb,Suggested3Hit,TargetCategoryBreadcrumb,TargetCategoryId,Notes
SKU-1164276787,2024010542503,VEVOR Kompressor Kühlbox 55L -20°C 12V 24V 230V Auto Camping CF55-V2,VEVOR,Kompressor Kühlbox,,Auto & Motorrad > Wohnmobil- & Caravan-Teile & Zubehör > Kühlboxen & Kühlschränke,Auto & Motorrad,180152,Auto & Motorrad: Teile > Werkzeuge > Pumpen & Kompressoren,2,43986,Auto & Motorrad: Teile > Werkzeuge > Druckluftkompressoren,2,133202,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Luftversorgung > Kompressoren,2,,,missing_or_broad
SKU-2748406604,4008177077142,Castrol Motoröl P0186F9-00 5W NEU,Castrol,Motoröl,,Auto & Motorrad > KFZ-Pflege & -Wartung > Motorreinigung & -pflege > Motoröle,Auto & Motorrad,179496,"Auto & Motorrad: Teile > Öl, Pflege- & Schmiermittel > Motoröl",1,,,,,,,,,missing_or_broad
SKU-8650951585,4260527480433,Lyvanas Eiskratzer mit Besen mit maximalem Lackschutz,Lyvanas,Eiskratzer mit Besen,,Auto & Motorrad > Autopf,Auto & Motorrad,118864,Garten & Terrasse > Hand-Gartengeräte & Zubehör > Rechen & Fächerbesen,1,261771,Sport > Weitere Wintersportarten > Curling & Eisstockschießen > Besen & Stöcke,1,259341,Möbel & Wohnen > Haushalt > Putzgeräte > Besen- & Bodenwischer-Zubehör,1,,,missing_or_broad
SKU-0614291176,4036021579191,MANNOL Motoröl 7919 0W 5L NEU,MANNOL,Motoröl,,"Auto & Motorrad: Teile > Öle, Schmier- & Betriebsstoffe > Motoröl",Auto & Motorrad: Teile,179496,"Auto & Motorrad: Teile > Öl, Pflege- & Schmiermittel > Motoröl",1,,,,,,,,,missing_or_broad
SKU-7396058360,4026947097541,BGS technic Motor-Einstellwerkzeug Satz 9754 2.8L 3.6L Silber Blau NEU,BGS technic,Motor-Einstellwerkzeug Satz,,Auto & Motorrad: Teile > Werkzeuge & Werkstattbedarf > Motorwerkzeuge & -geräte > Motor-Einstellwerkzeuge,Auto & Motorrad: Teile,179527,Auto & Motorrad: Teile > Werkzeuge > Handwerkzeuge > Nusssätze,2,262336,"Modellbau > Modellbausätze > Werkzeuge, Zubehör & Motoren > Farben",2,262333,"Modellbau > Modellbausätze > Werkzeuge, Zubehör & Motoren > Motoren",2,,,missing_or_broad
SKU-9400450055,0402019292922,ALKAR Außenspiegel 9202922 Fiat Citroën Peugeot Rechts elektrisch NEU,ALKAR,Außenspiegel,,Auto & Motorrad: Teile > Auto-Ersatz- & -Reparaturteile > Karosserie & Exterieur > Außenspiegel,Auto & Motorrad: Teile,9843,Auto & Motorrad: Fahrzeuge > Automobile > Fiat,1,124139,Spielzeug > Elektrisches Spielzeug > Sudoku,1,2662,Spielzeug > Elektrisches Spielzeug > Roboter,1,,,missing_or_broad
SKU-9129624671,00872299043330,Thule Gepäckträger Chariot Cargo Rack 2 20201512 Schwarz NEU 3kg Traglast,Thule,Gepäckträger,,Baby > Kinderwagen & Zubehör > Kinderwagen-Zubehör,Baby,177836,Sport > Radsport > Fahrradzubehör > Gepäckträger,1,258503,Feinschmecker > Lebensmittel > Cracker & Knäckebrot,1,69965,"TV, Video & Audio > DJ-Equipment > Cases, Racks & Taschen",1,,,missing_or_broad
SKU-2126872416,4063846033713,CYBEX Kindersitz Anoris T i-Size 115cm Deep Black-black NEU,CYBEX,Kindersitz,,Baby & Kind > Kindersitze & Zubehör > Kindersitze,Baby & Kind,25664,Baby > Auto-Kindersitze & Zubehör > Zubehör,1,2987,Baby > Auto-Kindersitze & Zubehör > Sonstige,1,157673,Baby > Zwillinge > Auto-Kindersitze,1,,,missing_or_broad
SKU-4766228789,4011097775111,Hansgrohe Duschthermostat 13156000 296mm Metall Chrom NEU,Hansgrohe,Duschthermostat,,Bad & Sanitär > Armaturen > Duscharmaturen > Duschthermostate,Bad & Sanitär,183183,Bastel- & Künstlerbedarf > Bastelmaterialien > Bastelpapier > Bastel- & Metallicfolie,1,179434,Auto & Motorrad: Teile > Werkzeuge > Autolackierbedarf > Spezielle Lacke & Beschichtung > Thermochromische Lacke,1,,,,,,missing_or_broad
SKU-5700317364,34bb265f-a1ad-4850-a2ec-71bf44c1ad68,Hansgrohe Waschtischmischer 71558000 Messing Chrom NEU,Hansgrohe,Waschtischmischer,,Badarmaturen >,Badarmaturen,179434,Auto & Motorrad: Teile > Werkzeuge > Autolackierbedarf > Spezielle Lacke & Beschichtung > Thermochromische Lacke,1,,,,,,,,,missing_or_broad
